student_id,course_name,score,major,gpa
ST161400,Operating System,86.99,DATA SCIENCE,3.67
ST161400,Algorithm and Programming,79.45,DATA SCIENCE,3.67
ST161400,Program Design Methods,80.59,DATA SCIENCE,3.67
ST161400,Discrete Mathematics,82.09,DATA SCIENCE,3.67
ST161400,Linear Algebra,87.06,DATA SCIENCE,3.67
ST161400,Basic Statistics,81.06,DATA SCIENCE,3.67
ST161400,Data Structures,81.32,DATA SCIENCE,3.67
ST161400,Web Development,82.07,DATA SCIENCE,3.67
ST161400,Calculus,88.12,DATA SCIENCE,3.67
ST161400,Artificial Intelligence,88.17,DATA SCIENCE,3.67
ST161400,Algorithm Design and Analysis,82.15,DATA SCIENCE,3.67
ST161400,Database Technology,78.14,DATA SCIENCE,3.67
ST161400,Object Oriented Programming,78.97,DATA SCIENCE,3.67
ST161400,Computer Networks,64.35,DATA SCIENCE,3.67
ST161401,Operating System,73.1,INTERNET OF THINGS,3.45
ST161401,Algorithm and Programming,75.75,INTERNET OF THINGS,3.45
ST161401,Program Design Methods,70.95,INTERNET OF THINGS,3.45
ST161401,Discrete Mathematics,79.26,INTERNET OF THINGS,3.45
ST161401,Linear Algebra,66.37,INTERNET OF THINGS,3.45
ST161401,Basic Statistics,76.35,INTERNET OF THINGS,3.45
ST161401,Data Structures,79.86,INTERNET OF THINGS,3.45
ST161401,Web Development,74.1,INTERNET OF THINGS,3.45
ST161401,Calculus,80.27,INTERNET OF THINGS,3.45
ST161401,Artificial Intelligence,70.3,INTERNET OF THINGS,3.45
ST161401,Algorithm Design and Analysis,79.82,INTERNET OF THINGS,3.45
ST161401,Database Technology,85.44,INTERNET OF THINGS,3.45
ST161401,Object Oriented Programming,75.4,INTERNET OF THINGS,3.45
ST161401,Computer Networks,86.5,INTERNET OF THINGS,3.45
ST161402,Operating System,77.6,INTERNET OF THINGS,3.5
ST161402,Algorithm and Programming,76.83,INTERNET OF THINGS,3.5
ST161402,Program Design Methods,72.59,INTERNET OF THINGS,3.5
ST161402,Discrete Mathematics,85.41,INTERNET OF THINGS,3.5
ST161402,Linear Algebra,69.95,INTERNET OF THINGS,3.5
ST161402,Basic Statistics,77.77,INTERNET OF THINGS,3.5
ST161402,Data Structures,77.29,INTERNET OF THINGS,3.5
ST161402,Web Development,70.12,INTERNET OF THINGS,3.5
ST161402,Calculus,80.84,INTERNET OF THINGS,3.5
ST161402,Artificial Intelligence,68.16,INTERNET OF THINGS,3.5
ST161402,Algorithm Design and Analysis,76.69,INTERNET OF THINGS,3.5
ST161402,Database Technology,85.79,INTERNET OF THINGS,3.5
ST161402,Object Oriented Programming,82.95,INTERNET OF THINGS,3.5
ST161402,Computer Networks,85.69,INTERNET OF THINGS,3.5
ST161403,Operating System,84.54,DATA SCIENCE,3.62
ST161403,Algorithm and Programming,78.8,DATA SCIENCE,3.62
ST161403,Program Design Methods,72.09,DATA SCIENCE,3.62
ST161403,Discrete Mathematics,73.12,DATA SCIENCE,3.62
ST161403,Linear Algebra,86.16,DATA SCIENCE,3.62
ST161403,Basic Statistics,86.23,DATA SCIENCE,3.62
ST161403,Data Structures,76.37,DATA SCIENCE,3.62
ST161403,Web Development,71.95,DATA SCIENCE,3.62
ST161403,Calculus,91.3,DATA SCIENCE,3.62
ST161403,Artificial Intelligence,84.46,DATA SCIENCE,3.62
ST161403,Algorithm Design and Analysis,81.29,DATA SCIENCE,3.62
ST161403,Database Technology,82.45,DATA SCIENCE,3.62
ST161403,Object Oriented Programming,82.12,DATA SCIENCE,3.62
ST161403,Computer Networks,75.73,DATA SCIENCE,3.62
ST161404,Operating System,76.64,DATABASE TECHNOLOGY,3.45
ST161404,Algorithm and Programming,74.76,DATABASE TECHNOLOGY,3.45
